Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
1000000000,12/21/2020 19:42,Cheyenne Newman,Hair Gel',6,12.77,Debit Card,New York,Convenience Store,TRUE,Student,Winter,None
1000000001,7/6/2020 7:45,Emily Fitzgerald,"Tuna', 'Bread', 'Tissues', 'Trash Bags'",5,13.88,Debit Card,Houston,Supermarket,FALSE,Professional,Fall,BOGO (Buy One Get One)
1000000002,10/2/2021 6:28,Michael Webb,"Jam', 'Soap', 'Ketchup'",7,47.02,Debit Card,Miami,Convenience Store,FALSE,Young Adult,Winter,None
1000000003,1/10/2022 5:39,Kimberly Lin,BBQ Sauce',9,83.86,Mobile Payment,Seattle,Warehouse Club,TRUE,Senior Citizen,Summer,Discount on Selected Items
1000000004,10/13/2021 7:28,Cathy Hernandez,"Hand Sanitizer', 'Bread', 'Extension Cords', 'Ice Cream', 'Hand Sanitizer'",4,30.55,Debit Card,Houston,Warehouse Club,FALSE,Senior Citizen,Spring,None
1000000005,4/26/2021 20:45,Elizabeth Cook,"Shower Gel', 'Baby Wipes', 'Banana', 'Paper Towels'",10,30.19,Debit Card,Atlanta,Supermarket,TRUE,Teenager,Summer,None
1000000006,10/7/2023 23:36,Kara Bradley,"Cereal', 'Tuna'",3,5.57,Mobile Payment,Boston,Warehouse Club,TRUE,Student,Winter,Discount on Selected Items
1000000007,3/30/2022 0:46,Carla Hernandez,"Iron', 'Extension Cords', 'Eggs', 'Iron', 'Tuna'",1,7.15,Debit Card,Dallas,Warehouse Club,FALSE,Student,Fall,BOGO (Buy One Get One)
1000000008,3/5/2020 23:47,Christopher Wang,"Banana', 'Pickles'",2,20.04,Cash,Chicago,Warehouse Club,FALSE,Teenager,Winter,Discount on Selected Items
1000000009,3/26/2023 13:28,Alisha Hudson,"Ketchup', 'Razors', 'Lawn Mower'",3,88.79,Cash,Dallas,Pharmacy,FALSE,Teenager,Summer,None
1000000010,5/10/2023 16:20,Samantha Mcclure,"Shrimp', 'Soda'",3,28.43,Cash,Seattle,Specialty Store,TRUE,Young Adult,Spring,None
1000000011,1/18/2020 8:59,Shari Thomas,"Soap', 'Vacuum Cleaner', 'Shower Gel', 'Mayonnaise'",9,69.48,Debit Card,San Francisco,Pharmacy,TRUE,Senior Citizen,Fall,None
