HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Surname,Deck,Cabin number,Side of ship,Group number,Passengers within group,Total spend,Group size,Is alone,No spending,Luxury spending,Basic spending,Spending per person,Transported
Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Ofracculy,B,0,P,1,1,0.0,1,True,True,0.0,0.0,0.0,False
Earth,False,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Vines,F,0,S,2,1,736.0,1,True,False,593.0,34.0,736.0,True
Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Susent,A,0,S,3,1,10383.0,2,False,False,6764.0,3576.0,5191.5,False
Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Susent,A,0,S,3,2,5176.0,2,False,False,3522.0,1654.0,2588.0,False
Earth,False,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Santantines,F,1,S,4,1,1091.0,1,True,False,567.0,221.0,1091.0,True
Earth,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Hinetthews,F,0,P,5,1,774.0,1,True,False,291.0,483.0,774.0,True
Earth,False,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Jacostaffey,F,2,S,6,1,1584.0,2,False,False,0.0,1542.0,792.0,True
Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Jacostaffey,G,0,S,6,2,0.0,2,False,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Beston,F,3,S,7,1,1018.0,1,True,False,216.0,802.0,1018.0,True
Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Flatic,B,1,P,8,1,0.0,3,False,True,0.0,0.0,0.0,True
Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Flatic,B,1,P,8,2,0.0,3,False,True,0.0,0.0,0.0,True
Europa,False,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Flatic,B,1,P,8,3,8157.0,3,False,False,234.0,7884.0,2719.0,True
Mars,False,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,Barne,F,1,P,9,1,1309.0,1,True,False,113.0,1123.0,1309.0,True
Earth,False,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,Baketton,G,1,S,10,1,809.0,1,True,False,24.0,66.0,809.0,False
Earth,False,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,Bertsontry,F,2,P,11,1,1003.0,1,True,False,9.0,986.0,1003.0,True
Earth,False,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,Pooles,Unknown,-1,,12,1,908.0,1,True,False,0.0,876.0,908.0,False
Mars,False,55 Cancri e,27.0,False,1286.0,122.0,0.0,0.0,0.0,Eccle,F,3,P,14,1,1408.0,1,True,False,0.0,122.0,1408.0,False
Earth,False,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,Hughriend,F,4,P,15,1,638.0,1,True,False,637.0,1.0,638.0,False
Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,Upead,F,5,P,16,1,0.0,1,True,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Brighttt,G,0,P,17,1,0.0,2,False,True,0.0,0.0,0.0,True
Earth,False,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,Brighttt,F,6,P,17,2,1092.0,2,False,False,679.0,1.0,546.0,False
Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Brantuarez,E,0,S,20,1,0.0,6,False,True,0.0,0.0,0.0,False
Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,Brantuarez,E,0,S,20,2,0.0,6,False,True,0.0,0.0,0.0,False
Earth,True,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,Mcfaddennon,E,0,S,20,3,0.0,6,False,True,0.0,0.0,0.0,False
Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,Jacostanley,E,0,S,20,4,0.0,6,False,True,0.0,0.0,0.0,True
Earth,True,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,Brantuarez,E,0,S,20,5,0.0,6,False,True,0.0,0.0,0.0,False
Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Mcfaddennon,E,0,S,20,6,0.0,6,False,True,0.0,0.0,0.0,False
Mars,False,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,Unknown,D,0,P,22,1,1051.0,1,True,False,0.0,71.0,1051.0,False
